taxon_name	mG19_06-15-1	mG19_06-15-2	mG19_06-15-3	mG19_07-23-1	mG19_07-23-2	mG19_07-23-3	mG19_09-10-1	mG19_09-10-2	mG19_09-10-3	mG19_09-29-1	mG19_09-29-2	mG19_09-29-3	mG19_11-3-1	mG19_11-3-2	mG19_11-3-3	mG19_12-4-1	mG19_12-4-2	mG19_12-4-3
Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Methanomassiliicoccus luminyensis;	0	0	0	0	0	0	0.000278	0	0	0.000354	0	0.000278	0	0	0	0	0	0
Archaea;Euryarchaeota;Thermoplasmata;NA;NA;NA;methanogenic archaeon ISO4-H5;	0	0	0	0	0.000481	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Cuniculiplasmataceae;Cuniculiplasma;Cuniculiplasma divulgatum;	0	0	0	0	0	0.000278	0	0	0.000633	0.00043	0.000784	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Acidiplasma;Acidiplasma cupricumulans;	0.001113	0.000506	0.0008095	0.000278	0	0	0.000506	0	0.00086	0	0	0	0	0.00019	0.00038	0	0	0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;NA;NA;Thermoplasmatales archaeon SG8-52-3;	0	0	0	0	0	0.00038	0.000304	0.000455	0	0	0	0	0.000355	0.0014425	0.00253	0.0006325	0.000405	0.00086
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;NA;NA;Thermoplasmatales archaeon SG8-52-4;	0	0	0	0	0	0	0.000329	0.000329	0	0	0	0	0	0	0	0	0	0
Archaea;NA;NA;NA;NA;NA;Candidatus Heimdallarchaeota archaeon LC_2;	0	0.000531	0.0002655	0	0	0.00038	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;NA;NA;NA;NA;NA;Candidatus Heimdallarchaeota archaeon LC_3;	0	0	0	0	0	0	0	0.000481	0	0	0	0	0	0.000177	0.000354	0	0	0
Archaea;NA;NA;NA;NA;NA;Candidatus Pacearchaeota archaeon CG1_02_32_132;	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000152	0.000304	0	0	0
Archaea;NA;NA;NA;NA;NA;Candidatus Pacearchaeota archaeon CG1_02_35_32;	0	0	0	0.000278	0	0	0	0	0	0.000683	0	0	0	0.000139	0.000278	0	0	0
Archaea;NA;NA;NA;NA;NA;Candidatus Pacearchaeota archaeon CG1_02_39_14;	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000152	0.000304	0	0	0
Archaea;NA;NA;NA;NA;NA;archaeon GW2011_AR11;	0	0.000278	0.000139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;NA;NA;NA;NA;NA;uncultured archaeon GZfos23H9;	0	0	0	0	0	0	0.000329	0	0	0	0	0	0	0	0	0	0	0
Archaea;NA;NA;NA;NA;NA;uncultured archaeon GZfos9D8;	0	0	0	0	0.000734	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;NA;NA;NA;NA;NA;uncultured archaeon;	0.000481	0.00043	0.0004555	0.000506	0.000304	0.000734	0.000506	0.001113	0.000481	0.000481	0.000557	0	0.000559	0.000798	0.001037	0.000519	0.000633	0.000405
Archaea;Thaumarchaeota;NA;Cenarchaeales;Cenarchaeaceae;Cenarchaeum;Cenarchaeum symbiosum;	0	0.000278	0.000139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Thaumarchaeota;NA;NA;NA;Candidatus Caldiarchaeum;Candidatus Caldiarchaeum subterraneum;	0	0	0	0	0	0	0	0.000304	0	0	0	0	0	0	0	0	0	0
Archaea;Thaumarchaeota;NA;NA;NA;NA;uncultured marine thaumarchaeote KM3_70_F07;	0	0	0	0	0.000455	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Thaumarchaeota;NA;Nitrosopumilales;NA;NA;uncultured marine crenarchaeote HF4000_APKG6D9;	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Thaumarchaeota;NA;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosoarchaeum;Candidatus Nitrosoarchaeum koreensis;	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000152	0.000304	0	0	0
Archaea;Thaumarchaeota;NA;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosoarchaeum;Candidatus Nitrosoarchaeum limnia;	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002655	0.000531	0.0002025	0	0.000405
Archaea;Thaumarchaeota;NA;Nitrosopumilales;Nitrosopumilaceae;Nitrosopumilus;Candidatus Nitrosopumilus salaria;	0	0	0	0	0	0	0.000278	0	0	0	0	0	0	0.0002275	0.000455	0.0004175	0.000506	0.000329
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium ailaaui;	0.000734	0.001467	0.0011005	0.001316	0.000961	0.001366	0.000835	0.00081	0.00081	0.000708	0.000607	0.000354	0	0.0003795	0.000759	0.0002025	0.000405	0
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium capsulatum;	0.000683	0.001012	0.0008475	0.001164	0.000987	0.00167	0.000936	0.001442	0.001063	0.001164	0.00081	0.000304	0.000406	0.0005195	0.000633	0.000392	0.000354	0.00043
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Bryocella;Bryocella elongata;	0.000835	0.001898	0.0013665	0.001189	0.001189	0.001316	0.000936	0.001189	0.000911	0.000582	0.000658	0.00081	0	0.0002655	0.000531	0.00019	0	0.00038
