"variable","block"
"UniRef90_S3J3U1","mG"
"UniRef90_I4HS12","mG"
"UniRef90_I4G0J9","mG"
"UniRef90_S3J5J8","mG"
"UniRef90_I4HS94","mG"
"UniRef90_B0JIL4","mG"
"UniRef90_I4FJS3","mG"
"UniRef90_B0JRD6","mG"
"UniRef90_K9VCL8","mG"
"UniRef90_S3K0I2","mG"
"UniRef90_L8NL84","mG"
"UniRef90_I4HFD8","mG"
"UniRef90_I4FIY7","mG"
"UniRef90_I4GSC2","mG"
"UniRef90_S3J2D0","mG"
"UniRef90_I4FWV6","mG"
"UniRef90_S3JAB9","mG"
"UniRef90_B0JKG3","mG"
"UniRef90_I4IVX5","mG"
"UniRef90_I4GH63","mG"
"UniRef90_I4GI86","mG"
"UniRef90_I4HNZ5","mG"
"UniRef90_I4F7N5","mG"
"UniRef90_B0JMN6","mG"
"UniRef90_I4H5J6","mG"
"UniRef90_B0JMK6","mG"
"UniRef90_I4IU22","mG"
"UniRef90_B0JQQ9","mG"
"UniRef90_I4FGA6","mG"
"UniRef90_I4HXA3","mG"
"UniRef90_I4HPT7","mG"
"UniRef90_I4GJI5","mG"
"UniRef90_I4FF19","mG"
"UniRef90_I4FHC3","mG"
"UniRef90_L8NR60","mG"
"UniRef90_I4FIE2","mG"
"UniRef90_L7E9Z4","mG"
"UniRef90_I4I302","mG"
"UniRef90_B0JS76","mG"
"UniRef90_I4FGB4","mG"
"UniRef90_I4FDY9","mG"
"UniRef90_I4FCF5","mG"
"UniRef90_S3J8P3","mG"
"UniRef90_I4F7H2","mG"
"UniRef90_S3JWJ0","mG"
"UniRef90_I4FCF7","mG"
"UniRef90_L8P0H7","mG"
"UniRef90_I4HEF3","mG"
"UniRef90_I4GMD5","mG"
"UniRef90_I4IH65","mG"
"UniRef90_B0JRQ8","mG"
"UniRef90_I4IT70","mG"
"UniRef90_I4GRD7","mG"
"UniRef90_S3JIM3","mG"
"UniRef90_I4FCZ9","mG"
"UniRef90_S3JF85","mG"
"UniRef90_L7E432","mG"
"UniRef90_I4GWL0","mG"
"UniRef90_I4GNE6","mG"
"UniRef90_I4FBG5","mG"
"UniRef90_L8NQX0","mG"
