gene_id	mT06-15-1.genes	mT06-15-2.genes	mT06-15-3.genes	mT07-23-1.genes	mT07-23-2.genes	mT07-23-3.genes	mT09-29-1.genes	mT09-29-2.genes	mT09-29-3.genes	mT11-3-1.genes	mT11-3-2.genes	mT11-3-3.genes	mT12-4-1.genes	mT12-4-2.genes	mT12-4-3.genes
fig|237.436.peg.1135_1135	0.0	327.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fig|237.436.peg.1136_1136	715.77	872.24	0.0	1918.52	0.0	0.0	0.0	0.0	0.0	1322.03	1430.6	0.0	389.28	414.81	259.66
fig|237.436.peg.1137_1137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fig|237.436.peg.1138_1138	378.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	463.48	0.0	0.0
fig|237.436.peg.1139_1139	537.02	117.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1421.62	0.0	0.0	349.92
fig|237.436.peg.113_113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fig|237.436.peg.1140_1140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fig|237.436.peg.1141_1141	357.87	261.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3157.87	0.0	0.0	0.0
fig|237.436.peg.1142_1142	0.0	598.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fig|237.436.peg.1143_1143	519.18	569.71	0.0	2918.82	0.0	0.0	0.0	0.0	838.54	0.0	3113.05	0.0	0.0	0.0	0.0
fig|237.436.peg.1144_1144	238.58	785.68	0.0	4308.05	0.0	0.0	0.0	0.0	641.82	0.0	0.0	0.0	0.0	0.0	0.0
fig|237.436.peg.1145_1145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fig|237.436.peg.1146_1146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fig|237.436.peg.1147_1147	0.0	652.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
