geneID	mT19_11-3-1-1	mT19_11-3-1-2	mT19_11-3-2-1	mT19_11-3-2-2	mT19_11-3-3-1	mT19_11-3-3-2	mT19_12-4-1-1	mT19_12-4-1-2	mT19_12-4-2-1	mT19_12-4-2-2	mT19_12-4-3-1	mT19_12-4-3-2	mT19_6-15-1-1	mT19_6-15-1-2	mT19_6-15-2-1	mT19_6-15-2-2	mT19_6-15-3-1	mT19_6-15-3-2	mT19_7-23-1-1	mT19_7-23-1-2	mT19_7-23-2-1	mT19_7-23-2-2	mT19_7-23-3-1	mT19_7-23-3-2	mT19_9-10-1-1	mT19_9-10-1-2	mT19_9-10-2-1	mT19_9-10-2-2	mT19_9-10-3-1	mT19_9-10-3-2	mT19_9-29-1-1	mT19_9-29-1-2	mT19_9-29-2-1	mT19_9-29-2-2	mT19_9-29-3-1	mT19_9-29-3-2
O53_1374_cpcB-1	7.73	8.22	11.73	21.84	11.31	9.33	1.72	0.88	1.88	2.01	1.72	0.14	2.36	0.00	1.26	3.85	0.97	5.84	8.06	8.53	18.29	14.09	17.17	16.66	11.81	9.92	12.66	12.76	4.58	3.02	3.87	6.22	7.00	8.65	3.85	0.68
O53_4893_O53_4893	365.67	203.62	285.47	316.30	144.75	590.25	0.99	0.34	0.77	0.00	0.27	0.13	1037.24	426.06	3094.13	2710.95	126.30	204.92	447.39	244.14	141.11	221.60	35.80	28.59	63.86	51.84	5.40	11.94	11.01	6.17	0.25	3.89	27.33	9.02	145.57	160.76
O53_2720_O53_2720	0.00	3.98	0.00	3.54	8.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.82	0.00	0.00	0.00	0.00	0.00	0.00	10.78	0.00	0.00	0.00	0.00
O53_3984_O53_3984	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	233.18	0.00	0.00	0.00	0.00
O53_3030_O53_3030	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_1883_O53_1883	228.93	228.90	314.58	306.13	325.76	363.80	193.53	189.60	176.58	226.99	171.22	167.29	493.58	172.17	197.08	561.76	483.06	325.19	644.00	658.41	656.34	719.92	664.38	592.33	530.98	518.92	616.06	597.73	630.85	533.09	506.84	496.95	444.79	481.61	551.66	588.27
O53_589_O53_589	9.74	9.93	8.54	11.48	11.74	10.56	11.76	10.59	11.54	9.86	7.62	7.64	13.07	9.67	14.33	18.95	13.48	14.43	20.16	20.17	9.56	10.33	15.21	15.24	16.37	16.96	14.87	15.96	19.90	22.21	8.91	10.71	10.45	10.35	13.42	13.40
O53_2774_O53_2774	27.78	27.43	20.75	21.24	22.25	32.35	10.02	17.56	16.43	19.00	12.97	14.52	78.28	69.56	64.81	36.40	34.02	16.17	45.79	36.29	25.00	34.76	31.53	35.04	43.77	45.73	27.59	21.17	23.66	27.29	21.04	10.63	20.24	24.25	35.44	34.84
O53_1247_O53_1247	12.24	3.69	2.20	14.62	8.23	7.45	22.67	22.88	45.28	44.27	55.29	77.60	18.65	13.87	11.62	0.64	4.10	16.86	1.08	0.00	1.86	0.00	3.14	4.21	0.00	1.83	1.13	1.07	1.93	0.00	1.66	5.62	0.00	1.85	6.57	1.51
O53_3174_O53_3174	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_3691_O53_3691	0.33	0.35	0.41	0.19	0.67	0.58	0.57	0.47	0.73	0.36	1.00	1.13	0.81	1.24	1.63	0.49	0.50	1.20	0.33	0.18	0.04	0.19	0.21	0.14	0.10	0.06	0.53	0.32	0.26	0.17	0.08	0.05	0.10	0.15	0.34	0.41
O53_2191_rpsM	94.67	75.80	117.77	84.57	149.03	151.62	89.03	66.19	54.37	63.04	84.62	94.19	178.64	473.92	632.09	172.03	75.61	51.67	103.38	84.40	81.68	112.15	103.37	110.90	137.76	130.41	156.12	131.63	82.36	82.45	105.70	94.20	93.08	127.86	112.06	147.55
O53_4549_O53_4549	72.63	64.97	55.41	55.01	76.46	72.51	132.13	91.39	74.96	41.21	61.84	60.03	90.11	62.58	84.95	72.27	45.47	79.62	33.32	27.88	29.06	40.72	32.48	37.61	40.27	35.85	28.94	32.81	53.31	40.33	55.23	41.60	36.59	31.19	40.56	38.78
O53_1871_O53_1871	6.28	6.33	7.08	5.61	10.98	10.71	15.48	16.09	14.99	12.88	14.38	15.76	14.88	15.23	19.15	14.77	10.33	11.80	6.87	4.86	4.60	4.99	4.35	5.92	6.86	6.28	7.29	5.94	6.01	4.05	2.90	4.55	3.42	2.94	7.68	7.42
O53_1059_O53_1059	401.53	330.43	214.32	206.71	364.50	228.00	1041.94	901.86	999.44	908.65	956.46	1183.95	222.18	69.64	131.84	186.83	223.36	235.87	72.94	85.88	129.58	131.73	124.36	123.39	189.86	177.89	174.50	196.45	338.88	215.31	375.40	337.28	127.76	137.04	121.32	155.58
O53_1563_ndhA	595.24	588.31	742.69	722.83	598.27	683.50	562.55	533.97	627.91	586.18	518.40	474.23	1086.90	333.52	336.26	926.80	701.06	689.88	887.06	1008.55	938.99	862.83	869.24	674.41	841.12	840.27	673.39	650.67	707.44	681.99	824.11	807.24	726.35	740.50	886.10	831.52
O53_729_O53_729	493.46	409.71	194.30	219.81	123.65	139.35	182.84	215.37	139.17	134.15	68.50	74.92	275.76	220.78	182.40	43.09	27.68	26.39	348.97	247.45	152.18	158.76	170.88	144.46	284.84	271.27	111.08	125.30	163.43	143.67	265.23	233.29	106.28	157.20	65.21	61.55
O53_3717_queC	44.73	38.75	32.24	19.78	45.15	32.84	32.16	30.95	31.53	26.90	36.69	45.97	47.52	32.90	44.39	39.14	8.26	14.12	22.44	15.13	22.46	20.80	20.36	18.33	27.98	33.90	27.13	29.47	24.31	19.63	11.52	12.04	4.99	6.92	5.15	10.12
O53_3381_devH	137.74	97.78	79.20	92.62	133.17	106.65	756.01	609.14	537.90	555.23	618.42	656.45	190.45	224.40	253.40	104.47	143.54	96.34	108.93	79.70	70.76	93.68	84.83	108.07	130.08	125.72	131.28	140.70	189.37	179.96	89.05	83.05	139.20	122.98	145.56	141.50
O53_4649_O53_4649	392.21	343.57	354.17	381.51	365.82	385.56	423.51	427.87	373.58	360.91	334.50	344.80	754.69	461.30	411.35	440.28	217.61	321.38	406.06	365.40	259.56	276.41	273.04	181.12	316.86	262.33	236.72	210.45	272.62	220.28	343.24	318.95	253.76	224.65	316.82	313.62
O53_5276_cax	65.71	67.53	80.02	75.10	71.48	78.39	129.63	133.61	110.63	100.07	107.37	95.69	80.34	28.99	36.48	91.81	88.73	111.94	54.93	73.80	53.31	53.77	55.64	51.11	64.29	52.16	66.28	47.73	72.97	77.08	90.29	87.30	77.64	93.40	85.22	74.61
O53_4116_O53_4116	3.88	4.08	2.75	1.74	5.30	5.95	5.26	4.43	4.56	3.24	4.64	5.68	11.73	19.37	18.13	5.32	4.14	3.82	5.61	4.34	4.67	4.56	7.70	6.39	13.91	15.13	5.35	10.45	17.56	10.52	7.09	12.39	8.05	7.45	3.52	8.04
O53_1746_ccmK-2	487.81	513.37	685.26	551.46	383.63	397.83	403.91	402.52	210.52	168.82	135.96	149.48	627.03	313.27	317.07	523.40	142.93	169.97	653.74	566.93	577.51	555.91	495.71	493.24	575.15	609.41	482.60	591.02	234.89	260.42	459.18	459.09	350.93	298.34	301.32	337.48
O53_5046_O53_5046	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_2406_O53_2406	6.34	8.18	5.30	2.06	3.30	0.00	5.61	9.20	1.12	5.93	0.61	6.00	7.23	3.17	11.55	0.00	0.00	26.47	0.00	0.00	2.24	0.00	0.00	0.64	0.00	2.26	7.60	0.00	0.00	0.71	0.00	11.43	0.00	0.00	0.00	0.00
