"","mT19_11.3.1","mT19_11.3.2","mT19_11.3.3","mT19_12.4.1","mT19_12.4.2","mT19_12.4.3","mT19_6.15.1","mT19_6.15.2","mT19_6.15.3","mT19_7.23.1","mT19_7.23.2","mT19_7.23.3","mT19_9.10.1","mT19_9.10.2","mT19_9.10.3","mT19_9.29.1","mT19_9.29.2","mT19_9.29.3"
"O53_5126_O53_5126",15.81,29.7,107.22,17.37,17,15.39,72.59,103.74,56.59,0,32.24,0,8.2,19.14,4.92,0,10.2,59.45
"O53_4732_O53_4732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1424_ilvC",1582.08,1677.57,1546.31,1102.63,830.24,609.47,1182.41,1234.33,632.91,1384.27,1510.18,1139.41,1367.41,1447.55,824.34,1405.81,1063.21,1020.92
"O53_3327_O53_3327",3.68,0.95,3.01,6.7,5.85,12.41,9.24,9.3,2.89,5.98,3.02,2.44,1.94,3,4.11,0,0.2,0.57
"O53_1024_O53_1024",68.29,61.13,67.08,76.91,60.41,58.34,82.29,69.95,58.99,51.94,39.79,65.67,96.31,65.71,52.93,36.24,38.36,55.82
"O53_4861_O53_4861",317.3,146.19,178.88,506.3,81.38,60.11,153.33,102.52,46.85,147.47,151.69,177.28,337.25,208.17,314.65,316.52,156.26,97.87
"O53_537_O53_537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1210_O53_1210",1050.12,1407.96,1499.12,270.94,278.97,300.53,1342.96,774.06,877.37,580.29,596.86,1716.95,1245.27,1464.35,1191.45,1309.65,1810.15,2581.19
"O53_1238_O53_1238",6.24,0.44,4.19,2.81,0,1.77,7.75,1.25,0.84,5.32,2.39,3.33,3.34,3.45,3.24,2.46,1.69,2.01
"O53_2683_O53_2683",30.01,13.92,30.86,32.25,34.04,34.5,20.03,30.89,2.04,3.55,13.52,13.19,25.38,9.1,12.29,21.76,11.56,30.29
"O53_2470_O53_2470",0.04,0,0.43,0.57,0.92,0.97,1.15,1.2,0.36,0.15,0,0.12,0.16,0,0,0.06,0.08,0.4
"O53_4360_O53_4360",33.87,48.5,54.74,8.16,6.68,7.37,43.08,52.63,13.47,14.5,7.48,15.19,25.09,10.62,9.89,17.04,20.72,28.15
"O53_2924_thrC",272.9,500.24,692.42,184.13,300.94,248.21,986,1080.78,995.75,1360.32,1468.94,1993.46,1944.81,1812.4,1018.88,920.04,1343.47,2073.41
"O53_386_O53_386",138.83,27.35,87.13,307.74,81.73,20.21,10.75,20.94,18.19,5.62,20.42,38.9,44.72,19.63,45.55,57.8,12.98,0
"O53_167_O53_167",1.54,1.82,4.17,2.93,3.29,9.02,12.36,20.43,3.96,2.98,1.38,2.02,1.84,1.3,2.04,0.58,1.24,6.62
"O53_3869_O53_3869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_426_O53_426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_564_O53_564",41.46,35.51,36.95,31.84,12.81,23.24,30.69,20.66,11.81,7.68,4.86,8.76,11.91,10.98,8.55,7.26,3.86,8.13
"O53_436_O53_436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_5147_trkA",74.16,40.86,41.57,159.46,78.48,75.69,36.13,42.28,121.3,34.94,31.01,50.61,50.79,37.18,85.6,46.71,50.1,53.17
"O53_1912_mreD",292.24,232.38,294.01,353.01,271.29,242.88,174.27,204.16,231.43,127.89,121.37,163.32,201.3,159.45,202.12,236.76,217.1,170.23
"O53_2365_O53_2365",4,0,0,0,0,0,21.46,0,0,12.62,0,0,0,0,10.69,0,0,0
"O53_1285_O53_1285",59.22,92.31,63.16,164.82,306.32,224.94,169.39,210.32,35.66,0,140.65,168.09,80.02,93.11,0,0,138.88,20.75
"O53_2226_O53_2226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_5335_O53_5335",12.56,14.84,20.69,14.06,7.85,8.48,32.33,26.36,20.02,8.21,12.1,12.1,18.43,11.29,17.29,11.41,16.23,21.16
"O53_1147_aerN",38.81,20.34,35.5,31.12,23.67,28.74,26.75,27.12,21.47,8.06,7.47,12.04,8.73,10.58,8.9,9.24,8.16,14.16
"O53_2732_plsY",25.33,25.67,62.15,74.99,64.69,95.35,72.47,73.12,64.45,22.45,27.45,24.63,13.51,21.01,18.65,5.88,12.03,33.36
"O53_1453_O53_1453",174.43,126.75,164.5,140.09,130.18,123.55,121.6,128.98,97.28,100.05,101.66,114.35,149.24,130.2,103.33,77.1,76.35,74.01
"O53_4081_O53_4081",24.97,24.63,28.45,62.58,54.89,68.36,87.03,98.13,101.26,36.42,27.3,25.69,6.73,25.91,29.43,11.1,22.13,66.8
"O53_1232_O53_1232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3733_O53_3733",150.97,162.84,141.2,272.08,184.01,152.56,80.4,85.05,111.68,103.88,70.45,123.47,263.22,171.05,103.01,94.46,78.55,75.6
"O53_2613_O53_2613",10.65,10.89,8.96,17.27,9.07,9.15,10.23,11.81,4.83,10.21,7.08,8.43,12.22,9.46,9.27,8.86,6.47,5.98
"O53_1250_queA",372.34,515.62,474.28,533,523.03,547.73,433.21,520.93,367.01,242.68,255.64,205.66,197.01,279.16,202.58,183.9,221.46,374.54
"O53_5079_cry",16.94,18.9,25.85,20,15.78,26.53,45.45,47.14,21.62,12.43,8.69,12.78,16.76,13.1,12.36,8.38,6.67,17.49
"O53_2592_O53_2592",42.45,48.23,46.79,50.47,32.85,28.68,66.3,53.75,35.68,26.57,25.14,24.91,35.27,37.13,33.45,26.05,27.05,40.16
"O53_2761_alaS",53.89,45.31,61.79,61.56,47.48,55.99,94.16,109.7,66.82,76.43,67.1,78.13,92.45,62.88,76.01,58.11,65.05,89.74
"O53_613_O53_613",21.94,0,0,9.62,0,14.61,123.47,131.43,6.22,25.24,30.07,39.27,40.12,19.65,43.53,0,29.1,5.47
"O53_1236_O53_1236",193.75,260.99,375.92,451.56,512.44,829.28,621.03,596.92,551.64,414.65,318.27,352.57,125.83,144.3,201.63,47.37,187.18,468.26
"O53_2152_O53_2152",13.52,8.16,7.94,12.87,10.22,11.2,12.91,13.43,7.11,7.83,3.95,9.41,8.87,7.87,7.88,6.04,5.43,7.13
"O53_2750_O53_2750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3160_ppsA",65.24,132.24,209.75,75.86,61.53,56.67,490.31,453.05,251.99,198.48,138.47,195.88,225.27,111.62,128.74,96.95,216.24,623.79
"O53_4217_sipA",0,0,8.65,2.81,0,4.98,15.99,18.89,3.06,2.9,17.85,3.5,0,5.99,9.93,28.26,0,2.52
